Customer ID,Recency,Frequency,Monetary,NumCancellations,CancelValue,CancelRate,CancelValueRatio,CustomerLifetime,AvgOrderValue,AvgQuantity,PurchaseFrequencyRate,Target
12346,149,12,77556.46,5.0,77608.20000000001,0.38461538461538464,1.0006542246226218,400,5965.881538461539,5714.2307692307695,0.029925187032418952,0
12347,6,5,2817.48,0.0,0.0,0.0,0.0,220,469.58,303.6666666666667,0.02262443438914027,1
12348,72,4,1709.3999999999999,0.0,0.0,0.0,0.0,189,341.88,499.4,0.021052631578947368,1
12349,231,3,2671.14,1.0,24.15,0.25,0.009037700120502668,181,667.785,248.25,0.016483516483516484,1
12350,133,1,334.40000000000003,0.0,0.0,0.0,0.0,0,167.20000000000002,98.5,1.0,0
12351,198,1,300.93,0.0,0.0,0.0,0.0,0,150.465,130.5,1.0,0
12352,85,7,1905.6100000000001,3.0,960.63,0.375,0.5038418973990485,130,238.20125000000002,55.25,0.05343511450381679,1
12353,27,2,406.76,0.0,0.0,0.0,0.0,204,135.58666666666667,70.66666666666667,0.00975609756097561,0
12354,55,1,1079.4,0.0,0.0,0.0,0.0,0,539.7,265.0,1.0,0
12355,37,2,947.61,0.0,0.0,0.0,0.0,353,315.87,181.0,0.005649717514124294,0
12356,68,5,6313.38,0.0,0.0,0.0,0.0,179,1052.23,568.5,0.027777777777777776,1
12357,211,2,12079.99,0.0,0.0,0.0,0.0,0,4026.6633333333334,1293.0,2.0,1
12358,199,3,2719.01,0.0,0.0,0.0,0.0,356,679.7525,207.75,0.008403361344537815,1
12359,12,9,6059.09,3.0,129.8,0.3,0.021418823812847664,544,605.909,209.5,0.01651376146788991,1
12360,24,6,2674.41,1.0,40.0,0.14285714285714285,0.014950979476042925,455,382.0585714285714,246.85714285714286,0.013157894736842105,1
12361,110,4,511.25,0.0,0.0,0.0,0.0,394,102.25,47.0,0.010126582278481013,0
12362,49,3,1104.34,1.0,4.9,0.25,0.004433025132538405,512,276.085,126.25,0.005847953216374269,1
12363,65,1,299.1,0.0,0.0,0.0,0.0,0,149.55,141.0,1.0,1
12365,114,2,641.38,1.0,320.69,0.3333333333333333,0.49922164450948037,0,213.79333333333332,58.0,2.0,0
12366,457,1,500.24,0.0,0.0,0.0,0.0,0,250.12,148.0,1.0,0
12368,451,1,917.7,0.0,0.0,0.0,0.0,0,458.85,165.0,1.0,0
12369,236,3,1791.15,0.0,0.0,0.0,0.0,228,447.7875,310.25,0.013100436681222707,0
12370,97,6,3577.28,0.0,0.0,0.0,0.0,394,511.04,317.7142857142857,0.015189873417721518,1
12371,232,3,2179.42,0.0,0.0,0.0,0.0,235,544.855,211.25,0.012711864406779662,1
12372,36,2,914.9200000000001,0.0,0.0,0.0,0.0,83,304.97333333333336,197.33333333333334,0.023809523809523808,1
12373,134,3,1127.65,0.0,0.0,0.0,0.0,362,281.9125,129.0,0.008264462809917356,0
12374,244,3,2246.29,0.0,0.0,0.0,0.0,166,561.5725,255.0,0.017964071856287425,1
12376,212,2,503.15,0.0,0.0,0.0,0.0,28,167.71666666666667,80.0,0.06896551724137931,0
12377,138,4,3426.32,0.0,0.0,0.0,0.0,274,685.264,421.0,0.014545454545454545,0
12378,385,1,1407.7,0.0,0.0,0.0,0.0,0,703.85,393.5,1.0,1
12379,245,2,767.98,0.0,0.0,0.0,0.0,112,255.99333333333334,136.0,0.017699115044247787,1
12380,9,8,7559.04,3.0,1784.0500000000002,0.3333333333333333,0.23598420114179292,476,839.8933333333333,280.1111111111111,0.016771488469601678,1
12383,8,5,1850.56,1.0,11.25,0.16666666666666666,0.006075957570913176,167,308.4266666666667,255.33333333333334,0.02976190476190476,0
12385,202,1,1938.4,1.0,15.0,0.5,0.007734350830153655,0,969.2,306.0,1.0,0
12386,160,2,401.9,0.0,0.0,0.0,0.0,29,133.96666666666667,118.0,0.06666666666666667,0
12387,238,1,143.94,0.0,0.0,0.0,0.0,0,71.97,67.0,1.0,0
12388,98,5,1886.7,0.0,0.0,0.0,0.0,307,314.45,145.0,0.016233766233766232,1
12389,225,3,1433.33,0.0,0.0,0.0,0.0,253,358.3325,153.5,0.011811023622047244,0
12391,287,5,2285.18,1.0,25.6,0.16666666666666666,0.011197718464862786,198,380.8633333333333,151.83333333333334,0.02512562814070352,1
12392,414,1,234.75000000000003,0.0,0.0,0.0,0.0,0,117.37500000000001,36.5,1.0,0
12393,69,5,1877.95,1.0,22.7,0.16666666666666666,0.012081215572527209,182,312.9916666666667,169.5,0.0273224043715847,1
